Index,ID,X Position,Y Position,Z Position,Type,Subnet,Address,Orientation
133,420,0.44386499,1.72981604,-2.158743,DAA,1,39,+Y
134,421,1.109675049,1.72981604,-2.158743,DAA,4,40,+Y
135,422,1.775484985,1.72981604,-2.158743,DAA,2,43,+Y
136,423,2.44127002,1.72981604,-2.158743,DAA,3,43,+Y
137,424,3.107080078,1.72981604,-2.158743,DAA,1,40,+Y
138,425,3.724452881,1.517954956,-2.158743,SAA,4,10,NA
139,427,0.776782776,2.306422119,-2.158743,DAA,3,44,+Y
140,428,1.442567993,2.306422119,-2.158743,DAA,1,41,-X
141,429,2.10837793,2.306422119,-2.158743,DAA,4,41,+Y
142,430,2.774187988,2.306422119,-2.158743,DAA,2,44,+Y
143,431,3.387954102,2.167406982,-2.158743,SAA,3,9,NA
144,432,0.44386499,2.8830271,-2.158743,DAA,1,42,+Y
145,433,1.109675049,2.8830271,-2.158743,DAA,4,42,+Y
146,434,1.775484985,2.8830271,-2.158743,DAA,2,45,-Y
147,435,2.44127002,2.8830271,-2.158743,DAA,3,45,-X
148,436,2.939364014,2.745180908,-2.158743,SAA,4,11,NA
149,437,0.221945206,3.45963208,-2.158743,DAA,2,46,+Y
150,438,0.88772998,3.45963208,-2.158743,DAA,3,46,+Y
151,439,1.553540039,3.267430908,-2.158743,SAA,1,11,NA
152,440,2.089733887,3.436391113,-2.158743,SAA,4,12,NA
153,441,0.365734589,4.00525,-2.158743,SAA,1,12,NA
154,442,1.085088013,3.872762939,-2.158743,SAA,2,10,NA
155,443,1.60401001,3.692779053,-2.158743,SAA,3,10,NA
